x,y,z,Index,10.0954277,9.96587204,10.33529979,
2372.64892,603.2424599999999,5085.03616,2208,21640.04314,3585.400457,55423.61729,59606.40835
2402.5641200000005,612.48016,5094.23656,2209,21615.26493,3644.295771,55238.47589,59428.86326
2396.22332,606.16986,5083.63146,2210,21659.19619,3625.312778,55356.22596,59553.13111
2402.2725200000004,606.04566,5078.07366,2211,21639.44347,3554.005967,55384.06719,59567.53622
2370.8683200000005,612.77916,5101.20536,2212,21795.15535,3666.668157,55427.82582,59671.7448
2366.9047200000005,610.84626,5107.71726,2213,21699.5355,3758.253524,55339.47761,59560.49104
2398.5197200000002,614.62336,5097.97156,2214,21766.4278,3555.242731,55513.48478,59734.11189
2383.9977200000008,618.7359600000001,5092.08936,2215,21814.15495,3665.216129,55340.27446,59597.29141
2392.0405200000005,612.34446,5081.75306,2216,21765.31932,3647.198829,55485.55467,59713.29803
2376.8059200000007,618.77656,5091.95496,2217,21837.41885,3667.030915,55467.70767,59724.25447
2391.9549200000006,641.24966,5085.95226,2218,21936.47317,3528.826194,55194.07338,59498.29582
2379.05812,628.23046,5104.41896,2219,21958.80829,3488.682665,55262.25845,59567.41876
2372.61072,647.70496,5096.07736,2220,21938.87588,3551.290267,55321.41771,59618.66482
2374.51812,636.19726,5085.55136,2221,21834.84855,3469.13959,55279.11326,59536.34103
2376.3787200000006,643.27786,5078.13006,2222,21896.45893,3509.56316,55261.37582,59544.87051
2388.0435200000006,630.0449600000001,5092.33006,2223,21661.31421,3492.88328,55422.6282,59607.72167
2396.1131200000004,625.74366,5083.91456,2224,21798.08504,3596.730657,55553.78419,59785.58288
2387.7837200000004,645.3638599999999,5084.04406,2225,21875.59774,3530.212447,55261.28693,59538.34067
2387.7555200000006,629.82146,5078.14756,2226,21916.85169,3571.048605,55262.69667,59557.25329
2387.7735200000006,660.87646,5088.04956,2227,21835.30891,3593.232636,55339.59337,59600.02206
2387.8359200000004,636.09206,5083.90996,2228,21940.24684,3686.392611,55430.91194,59728.97053
2399.8759200000004,656.49236,5075.92886,2229,21898.64156,3707.157502,55430.42618,59714.53479
2376.5869200000006,671.37636,5096.49686,2230,21918.76781,3644.698392,55381.03895,59672.23545
2368.4641200000005,661.15056,5098.08526,2231,21619.06484,3626.583426,55423.83639,59601.49086
2370.5493200000005,669.4401600000001,5102.02486,2232,21796.70601,3667.856089,55506.00203,59745.00667
2366.2709200000004,665.19356,5092.43346,2233,21773.55921,3645.507621,55378.26082,59616.51934
2360.1869200000006,671.49896,5098.08066,2234,21774.14071,3645.953095,55407.5769,59643.99178
2387.77712,667.08746,5090.02996,2235,21774.52837,3646.250078,55427.12095,59662.30772
2406.98912,653.28666,5071.2910600000005,2236,21642.24798,3710.829926,55572.04563,59752.90296
2407.06192,657.48196,5076.07816,2237,21899.10999,3625.022771,55429.19421,59708.52016
2409.29572,646.22756,5081.62566,2238,21837.45519,3728.928946,55488.1757,59747.10874
2417.5127200000006,653.42236,5083.77456,2239,21857.2705,3686.855027,55429.32444,59697.09525
2409.4801200000006,644.3012600000001,5090.1053600000005,2240,21794.41637,3727.972222,55409.20574,59657.97887
2417.4613200000003,642.00076,5077.93766,2241,21600.34994,3782.929024,55572.32985,59742.52685
2424.8911200000007,644.21426,5090.39336,2242,21523.869,3780.363808,55375.50026,59531.62283
2422.7599200000004,633.81956,5083.58746,2243,21599.75027,3751.534534,55532.77976,59703.54136
2434.8043200000006,639.73746,5071.61576,2244,21424.41288,3784.208642,55588.50046,59694.28017
2432.7433200000005,651.1259600000001,5074.57776,2245,21679.23763,3748.39927,55358.47079,59570.12783
2440.50172,650.72196,5052.03936,2246,21770.89604,3839.389675,55303.01054,59557.83577
2442.8851200000004,643.72246,5066.15596,2247,21815.02113,3820.555174,55430.53264,59691.16967
2430.7001200000004,649.07716,5074.50956,2248,21580.1611,3958.768863,55652.72711,59821.41121
2447.9073200000003,633.25736,5057.59346,2249,21721.90697,3780.008027,55428.13071,59652.38786
2434.7007200000003,637.5876599999999,5065.91296,2250,21815.56225,3862.216505,55470.23672,59730.91858
2438.8603200000002,635.53386,5067.85096,2251,21682.31674,3822.940007,55535.44523,59740.46707
2445.6873200000005,635.21016,5050.02086,2252,21792.29835,3860.40172,55342.80351,59603.96689
2432.5923200000007,633.41886,5062.0329600000005,2253,21720.79445,3975.078013,55431.05663,59667.37967
2442.87352,645.7828599999999,5066.18576,2254,21722.06042,3821.372375,55448.29075,59673.81119
2440.5655200000006,639.38976,5051.87546,2255,21856.35585,3778.959617,55411.16635,59685.66145
2445.69092,641.42116,5052.00126,2256,21773.1453,3820.489399,55410.19483,59656.98355
2414.85372,637.44456,5049.47466,2257,21897.43819,3747.48241,55382.18204,59671.8318
2410.96032,657.29486,5065.75446,2258,21773.02819,3841.023082,55410.50282,59658.54539
2406.7229200000006,635.4901600000001,5053.07326,2259,21791.52302,3859.807754,55303.71541,59567.35288
2398.41672,650.98956,5053.14316,2260,21814.39926,3861.325556,55411.60457,59675.9899
2411.1227200000003,628.44926,5065.33726,2261,21772.42045,4015.856368,55432.66481,59690.41566
2395.7569200000003,651.3347600000001,5073.88656,2262,21876.28019,3922.579792,55413.71917,59704.59396
2385.27172,651.22886,5063.29406,2263,21853.52106,3900.528307,55305.52202,59594.38958
2406.9529199999997,646.01566,5067.40476,2264,21792.29835,3860.40172,55342.80351,59603.96689
2379.2341200000005,649.29266,5068.82206,2265,21874.61646,3838.811655,55304.99492,59597.63236
2402.7053200000005,639.72356,5058.72906,2266,21853.49885,3972.693179,55326.14404,59618.28509
2385.3601200000003,649.22806,5067.04626,2267,21957.34445,3745.3537,55266.10835,59586.03345
2389.46032,644.02406,5065.15756,2268,21854.39128,3952.753463,55364.92415,59653.2774
2379.0983200000005,635.7361599999999,5058.22786,2269,21814.29628,4015.922143,55453.00261,59724.59001
2373.7997200000004,643.91736,5052.57806,2270,21855.74811,3953.792903,55433.32833,59717.33495
2381.1299200000003,639.84536,5058.32586,2271,21744.98713,4018.851112,55617.73799,59852.55557
2385.2833200000005,649.1684600000001,5063.26426,2272,21596.21283,3996.30532,55428.98337,59621.63251
2369.95132,642.07386,5064.76296,2273,21811.81281,4075.889784,55346.4343,59628.81724
2376.9677200000006,659.48706,5061.36866,2274,21772.58803,4191.28362,55493.91489,59759.40962
2367.87332,646.2062599999999,5064.78416,2275,21773.04233,3975.085985,55451.59288,59705.49249
2371.6579200000006,659.38196,5052.76316,2276,21697.95455,4035.458242,55343.6355,59581.91123
2387.1743200000005,664.55026,5059.74416,2277,21816.15788,3996.724883,55540.64285,59805.364
2389.50772,659.58136,5071.99956,2278,21794.36387,4078.529744,55512.16187,59776.4905
2381.18532,647.13126,5063.15766,2279,21442.12026,4111.741013,55535.19305,59672.67886
2377.19052,657.59056,5071.7393600000005,2280,21614.89745,4118.352372,55362.82402,59575.22053
2379.0319200000004,664.6562600000001,5063.37256,2281,21479.66516,4325.034592,55402.41235,59577.75788
2387.41232,666.80436,5072.06546,2282,21616.41177,4057.642273,55420.5322,59625.23885
2391.3795200000004,674.94826,5067.53396,2283,21718.61788,4117.774351,55364.8084,59614.73339
2400.6239200000005,682.13726,5069.70206,2284,21532.03822,4098.281106,55360.92853,59542.06064
2389.32252,682.20106,5069.49086,2285,21873.0759,4074.800515,55298.7648,59606.95292
2393.4959200000008,670.84566,5069.40376,2286,21660.4561,4121.239485,55568.83032,59783.39967
2385.4111200000007,670.99636,5075.86866,2287,21639.88364,4193.668453,55598.82749,59808.87089
2397.34972,682.00566,5060.18946,2288,21596.28552,4120.101383,55469.91943,59668.13844
2384.9735200000005,666.51796,5053.1170600000005,2289,21655.97575,4189.989053,55364.69574,59596.86928
2393.0797200000006,659.1409600000001,5045.60236,2290,21615.36588,4036.217641,55361.59205,59568.62404
2406.82172,662.4690599999999,5065.75216,2291,21618.17039,4193.0416,55549.57048,59755.18111
2413.05352,657.31306,5067.68386,2292,21752.37093,4098.997652,55492.13206,59743.98834
2428.1627200000003,666.30416,5055.81446,2293,21814.17918,4036.455825,55453.3106,59726.2174
2425.5819200000005,663.8381599999999,5029.27226,2294,21701.79082,4079.643928,55549.46403,59777.53904
2443.8649200000004,687.3687600000001,5026.17856,2295,21874.08141,4137.441003,55368.09296,59675.95473
2438.0885200000002,683.56586,5043.96826,2296,21914.91135,4116.082146,55329.49061,59653.65037
2457.4313200000006,663.6583599999999,5029.86746,2297,21937.30907,3962.557888,55366.66565,59685.97037
2442.3347200000003,676.40576,5048.66826,2298,21854.72039,3963.317287,55384.6222,59672.38108
2451.44192,656.5860600000001,5036.26646,2299,21954.77214,4093.980832,55242.02814,59585.68932
2453.6619200000005,654.6332600000001,5043.83906,2300,21753.02915,4120.125301,55531.52815,59782.27437
2451.6151200000004,646.37346,5041.79046,2301,21749.59469,4210.299501,55386.33373,59652.47232
2481.1355200000007,636.68016,5026.13966,2302,21679.3931,4233.168187,55512.28899,59745.54399
2476.7647200000006,638.57006,5013.80116,2303,21876.33067,4118.540727,55475.27725,59774.93293
2515.8813200000004,624.95706,5014.33706,2304,21854.90615,4169.693555,55456.1063,59752.84925
2529.6765200000004,647.18266,4992.24166,2305,21877.08379,4191.299566,55534.98738,59835.68007
2543.1987200000003,624.47266,4994.05446,2306,22069.63994,4093.938975,55283.29905,59666.34309
2541.0099200000004,614.0332599999999,4984.41206,2307,21937.30907,3962.557888,55366.66565,59685.97037
2536.77752,611.89176,4977.68696,2308,21876.95255,4077.770345,55494.20532,59789.93299
2562.8129200000008,587.1858599999999,4988.20986,2309,21854.09044,4210.315446,55427.40621,59728.76513
2551.4231200000004,589.25046,4984.24646,2310,21936.31366,4137.094191,55369.28358,59699.87412
2560.90772,591.45236,4996.74056,2311,21895.19094,4209.787255,55408.65591,59726.38315
2577.1581200000005,587.0748600000001,4986.58766,2312,21698.64912,4118.483922,55403.49963,59643.44938
